channel_name,message_id,image_path,detected_class,confidence_score,image_category
CheMed123,10,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\10.jpg,none,0.0,other
CheMed123,11,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\11.jpg,clock,0.4273,other
CheMed123,13,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\13.jpg,hot dog,0.5039,other
CheMed123,13,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\13.jpg,donut,0.399,other
CheMed123,13,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\13.jpg,hot dog,0.3097,other
CheMed123,13,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\13.jpg,donut,0.2969,other
CheMed123,13,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\13.jpg,hot dog,0.2637,other
CheMed123,13,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\13.jpg,hot dog,0.2502,other
CheMed123,14,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\14.jpg,none,0.0,other
CheMed123,15,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\15.jpg,none,0.0,other
CheMed123,17,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\17.jpg,bottle,0.526,product_display
CheMed123,17,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\17.jpg,bottle,0.4945,product_display
CheMed123,17,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\17.jpg,bottle,0.4318,product_display
CheMed123,17,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\17.jpg,bottle,0.3874,product_display
CheMed123,17,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\17.jpg,bottle,0.385,product_display
CheMed123,17,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\17.jpg,bottle,0.3799,product_display
CheMed123,17,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\17.jpg,bottle,0.3749,product_display
CheMed123,17,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\17.jpg,bottle,0.3264,product_display
CheMed123,17,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\17.jpg,bottle,0.2849,product_display
CheMed123,17,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\17.jpg,bottle,0.2793,product_display
CheMed123,17,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\17.jpg,bottle,0.2719,product_display
CheMed123,18,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\18.jpg,none,0.0,other
CheMed123,19,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\19.jpg,person,0.9401,lifestyle
CheMed123,19,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\19.jpg,person,0.9277,lifestyle
CheMed123,19,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\19.jpg,dining table,0.3616,lifestyle
CheMed123,19,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\19.jpg,dining table,0.3222,lifestyle
CheMed123,2,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\2.jpg,bottle,0.3872,product_display
CheMed123,20,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\20.jpg,person,0.9401,lifestyle
CheMed123,20,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\20.jpg,person,0.9277,lifestyle
CheMed123,20,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\20.jpg,dining table,0.3616,lifestyle
CheMed123,20,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\20.jpg,dining table,0.3222,lifestyle
CheMed123,21,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\21.jpg,bird,0.2526,other
CheMed123,22,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\22.jpg,stop sign,0.2775,other
CheMed123,23,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\23.jpg,cell phone,0.6107,other
CheMed123,25,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\25.jpg,cell phone,0.8613,lifestyle
CheMed123,25,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\25.jpg,person,0.6284,lifestyle
CheMed123,26,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\26.jpg,person,0.8276,promotional
CheMed123,26,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\26.jpg,cup,0.4267,promotional
CheMed123,26,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\26.jpg,book,0.3177,promotional
CheMed123,26,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\26.jpg,book,0.3131,promotional
